date,nifty_close,breadth_pct,banner,n_setups,top_score
2026-09-11,23398.0,27.0,RED,12,88.0
2026-09-14,23398.0,27.0,RED,12,88.0
2026-09-14,23398.0,27.0,RED,12,88.0
2026-09-15,23269.0,21.0,RED,4,82.0
2026-09-15,23119.0,16.0,RED,3,82.0
2026-09-15,23119.0,16.0,RED,3,82.0
2026-09-16,23218.0,17.0,RED,3,79.0
2026-09-17,23271.0,20.0,RED,6,86.0
2026-09-18,23346.0,28.0,RED,9,83.0
2026-09-21,23414.0,27.0,RED,13,84.0
2026-09-22,23329.0,26.0,RED,10,82.0
2026-09-23,23447.0,31.0,RED,12,78.0
2026-09-24,23063.0,21.0,RED,11,79.0
2026-09-25,23140.0,22.0,RED,9,83.0
