Industry,MedianRet63,N
Realty,11.107471691954352,6
Consumer Services,9.995900522148448,10
Information Technology,6.137687161560446,12
Automobile and Auto Components,5.99592899371374,14
Services,5.119071367456679,4
Consumer Durables,4.1387235166517655,8
Financial Services,3.292477798792981,46
Healthcare,2.546335240997366,16
Metals & Mining,1.0158246643492408,10
Capital Goods,0.689763153180345,22
Oil Gas & Consumable Fuels,-1.0827532869296164,9
Chemicals,-1.1126787202360489,6
Construction Materials,-2.3855514002632305,4
Telecommunication,-3.556564813993429,4
Power,-4.455798867042282,8
Construction,-4.837521315855864,2
Textiles,-7.856527771619826,1
Fast Moving Consumer Goods,-8.49655326192756,14
